Date,PRS_max,RAINF_max,RH_max,SR_max,TOUT_max,WSR_max,WDV_max,PM2.5_max,PRS_min,RAINF_min,RH_min,SR_min,TOUT_min,WSR_min,WDV_min,PRS_avg,RAINF_avg,RH_avg,SR_avg,TOUT_avg,WSR_avg,WDV_avg,CONT
17/04/2015,717.2,0,94,0.501,26.4,9.2,355,72,715.2,0,75,0,19.72,0.9,18,716.3055556,0,84.77777778,0.103555556,23.42777778,4.083333333,156.9444444,1
17/01/2015,726.3,0,84,0.555,24.93,6,304,121,720.6,0,41,0,10.63,1.8,10,722.83125,0,58.8125,0.198625,19.871875,3.61875,110.75,1
17/02/2015,726.9,0,88,0.302,11.32,8.8,356,69,720.8,0,68,0,6.81,2.1,1,723.6947368,0,80.52631579,0.069157895,8.320526316,6.078947368,174.9473684,1
17/07/2015,719.1,0.01,89,0.871999979,34.58,15.6,134,57,715.5,0,43,0,23.44,4.7,23,717.4681818,0.000454545,66.04545455,0.254045454,28.89818182,9.981818182,100.1363636,1
17/03/2015,720.7,0,82,0.264,19.44,10.2,86,28,720.7,0,82,0.264,19.44,10.2,86,720.7,0,82,0.264,19.44,10.2,86,0
17/05/2015,719.4,0.05,91,0.771,32.83,13.2,343,77,715.1,0,59,0,23.93,2.1,60,717.46875,0.003125,78.0625,0.2690625,27.40625,7.4,143.0625,1
17/10/2015,725.4,0.01,95,0.702,27.43,16.1,176,45,722.7,0,50,0,19.81,3.6,6,724.15,0.000555556,74.22222222,0.217333333,23.31944444,7.683333333,76,1
17/08/2015,719,0,82,0.934,34.99,13.5,341,42,715.4,0,35,0,22.99,3,16,717.4333333,0,54.85714286,0.278047619,29.70619048,7.842857143,131.2380952,1
18/04/2015,716.6,0,95,0.797,32.2,17.7,338,96,713.1,0,34,0,22.21,3.3,13,715.0761905,0,74.47619048,0.197285714,25.38904762,9.528571429,122.4761905,1
18/01/2015,729.5,0,72,0.371,19.18,8.1,341,98,725.1,0,31,0,14.58,3.3,0,726.55625,0,47.875,0.0626875,16.5325,5.23125,179.125,1
18/02/2015,728,0.01,91,0.675,17.65,12.3,324,49,723.9,0,51,0,5.62,0.9,88,726.2565217,0.000434783,70.43478261,0.194695652,11.76782609,6.834782609,158.4782609,1
18/07/2015,719.6,0,84,0.884000003,35.43,15,129,39,716.6,0,42,0,23.44,3.8,28,718.1555556,0,64.5,0.287888889,29.305,9.883333333,104.3888889,0
18/03/2015,720.9,0,95,0.352,23.03,7.4,347,53,717.9,0,72,0.019,18.7,4.1,8,718.9333333,0,82.44444444,0.236222222,21.03,5.466666667,115.8888889,1
18/05/2015,720.2,0.01,92,0.709,28.79,15,117,72,718.1,0,70,0,22.87,4.1,22,719.115,0.0005,81.5,0.19065,26.126,10.18,100.7,1
18/10/2015,724.7,0,88,0,20.17,8.3,104,44,724,0,85,0,19.24,5.8,72,724.325,0,87.25,0,19.62,6.65,88,1
18/08/2015,717.9,0,85,0.861,35.3,12.9,352,42,712.8,0,37,0,23.06,3.7,13,715.6238095,0,60.61904762,0.269142857,29.17285714,7.685714286,96.0952381,1
19/04/2015,716.6,0,94,0.062,24.83,9.5,342,56,714.6,0,80,0,19.4,0.9,12,715.3727273,0,87.45454545,0.021363636,21.80363636,3.609090909,154.8181818,1
19/01/2015,724.7,0,69,0.604,27.66,9.3,358,67,718.5,0,35,0,12.59,1,35,721.3869565,0,55.04347826,0.11326087,18.32565217,3.869565217,179.9565217,1
19/02/2015,727.4,0,88,0.662,19.8,14.2,337,47,721.1,0,58,0,7.29,1.2,1,724.1761905,0,71.52380952,0.194190476,13.88142857,6.661904762,117.3333333,1
19/07/2015,720,0,84,0.869000018,34.2,13.8,130,48,717.2,0,50,0,23.55,3.6,39,718.6857143,0,68.66666667,0.249380958,28.34809524,8.40952381,87.9047619,1
19/03/2015,718.7,0,94,0.517,24.13,11,353,90,716.5,0,71,0,17.4,0.9,12,717.7941176,0,80.82352941,0.228647059,21.87529412,6.7,124,1
19/05/2015,719.1,0.01,95,0.692,29.07,13.6,129,50,715.5,0,70,0.012,22.75,9.1,101,717.5357143,0.000714286,82.78571429,0.241214286,25.96,11.26428571,114.7142857,1
19/08/2015,715.3,0.24,85,0.793,37.57,15,349,63,712.1,0,34,0,23.02,3.1,6,714.2210526,0.021052632,64.94736842,0.270210526,28.53736842,7.184210526,131.2631579,1
20/04/2015,719.5,0.07,93,0.163,22.43,11.2,359,46,715.9,0,79,0,16.33,0.9,10,717.747619,0.007142857,86.19047619,0.037571429,19.10714286,5.219047619,190,1
20/01/2015,719.9,0,81,0.596,29.12,10.6,355,90,716.6,0,32,0,13.56,1.7,66,718.4347826,0,56.43478261,0.143086957,21.49521739,5.113043478,183.5652174,1
20/02/2015,720.7,0,93,0.642,25.49,10.8,327,71,714.8,0,50,0,11.09,0.9,10,717.8105263,0,73.78947368,0.19,17.83894737,5.668421053,133.8421053,1
20/07/2015,719.2,0,90,0.879999995,34.47,14.9,129,43,716,0,42,0,23.61,3.8,7,717.7636364,0,65.5,0.248363639,29.115,9.15,84.45454545,1
20/03/2015,720.9,0.05,96,0.284,24.48,9.2,321,80,718.3,0,74,0,19.01,0.9,16,719.7625,0.00375,87.16666667,0.086416667,21.45458333,4.783333333,89.79166667,1
20/05/2015,718.2,0.01,93,0.757,30.38,13.2,139,61,715.9,0,63,0,22.29,3.6,50,716.8894737,0.000526316,79.36842105,0.240157895,25.90473684,7.084210526,97.36842105,1
21/04/2015,719.1,0,95,0.282,21.54,8.4,125,69,716.4,0,80,0,16.2,1.5,13,717.6789474,0,88.84210526,0.085263158,19.13210526,5.6,83.26315789,1
21/01/2015,719.2,0,84,0.553,21.92,12.2,339,55,716.1,0,66,0,15.16,2.3,4,717.8409091,0,75.40909091,0.127454545,18.41454545,6.118181818,159.0909091,1
21/02/2015,717.1,0,93,0.68,29.52,15.5,353,84,714.4,0,40,0,13.44,1.9,0,715.8956522,0,65.69565217,0.168782609,21.39782609,5.595652174,136.0434783,1
21/07/2015,717.8,0,89,0.882000029,34.43,15,121,53,714.4,0,42,0,23.48,4.6,2,716.415,0,64.85,0.292499998,29.328,9.26,95.3,1
21/03/2015,721.1,0.13,96,0.321,22.52,9.2,359,48,718.7,0,74,0,15.67,2.7,34,720.0533333,0.030666667,87.93333333,0.069666667,19.258,5.233333333,153.4,1
21/05/2015,719.6,0,82,0.752,26.98,13.9,113,27,718.4,0,73,0.153,23.68,7.2,90,718.92,0,77.6,0.3994,25.32,10.8,102.6,0
21/10/2015,720.7,0,89,0.746,29.68,17.5,319,49,717.1,0,55,0,18.57,1.9,1,718.6823529,0,71.17647059,0.262705882,24.89705882,10.44705882,102.4117647,1
21/08/2015,717.7,0,65,0.852,32.22,12.2,133,79,716.1,0,52,0,28.61,7.4,41,716.7,0,57.11111111,0.341222222,30.89555556,9.444444444,80.22222222,1
22/04/2015,717.2,0.05,96,0.614,28.37,7.3,102,105,714.5,0,69,0,18.85,1.3,7,715.8428571,0.005,83.78571429,0.187285714,23.96571429,5.207142857,72.07142857,1
22/01/2015,723.7,0.01,95,0.144,17.31,14.3,360,34,716.9,0,79,0,7.58,5.1,0,719.18,0.0005,88.3,0.03685,13.8345,9.84,243.7,0
22/02/2015,721.9,0,96,0.577,26.63,10.7,355,60,716.8,0,58,0,15.88,0.9,11,718.4208333,0,74.75,0.152291667,21.37416667,5.108333333,147,1
22/07/2015,717,0,78,0,26.4,8.9,85,16,717,0,78,0,26.4,8.9,85,717,0,78,0,26.4,8.9,85,0
22/03/2015,721.9,0,96,0.694,29.35,14.8,356,53,718.7,0,41,0,17.53,0.9,36,720.495,0,78.65,0.17215,22.182,6.445,164.3,1
22/10/2015,718.3,0,90,0.504,30.01,14,112,60,715.8,0,63,0,23.13,8.4,88,716.47,0,71.7,0.1041,27.613,10.91,99.4,1
22/08/2015,718.5,0,91,0.866,33.62,14.2,125,62,715.5,0,49,0,23.44,2.8,16,717.2333333,0,69.93333333,0.224066667,28.198,8.966666667,79.4,1
23/04/2015,717.4,0,95,0.755,29.83,13.9,344,95,714.5,0,71,0.017,22.41,0.9,5,716.3277778,0,83.55555556,0.293666667,26.03555556,6.222222222,126.5555556,1
23/01/2015,727.4,0,89,0.435,13.02,15.6,355,24,723.7,0,58,0,6.89,2.7,2,725.3363636,0,67.63636364,0.118272727,9.909090909,10.8,187.7272727,0
23/02/2015,727.8,0.02,94,0.125,20.45,13.6,358,40,722.6,0,81,0,3.29,7.4,2,725.9,0.004545455,87.36363636,0.042818182,9.208181818,9.281818182,257.9090909,0
23/03/2015,722.3,0,93,0.744,28.63,15.1,281,73,718.9,0,44,0,17.16,0.9,17,720.7652174,0,66.86956522,0.244130435,23.41217391,6.782608696,132.2173913,1
23/10/2015,716.7,0,94,0.262,26.98,10.3,116,42,714.5,0,77,0,23.14,6.8,73,715.5615385,0,86.69230769,0.097307692,24.96307692,8.3,94,1
23/08/2015,720.8,0,89,0.867,35.37,17.1,102,80,716.7,0,37,0,23.39,3.4,39,718.32,0,62.73333333,0.3006,29.68466667,10.80666667,82.4,1
24/04/2015,716.4,0,94,0.767,31.8,11.1,335,64,712.3,0,58,0.026,21.17,2.4,18,714.5266667,0,79,0.317733333,26.28133333,5.746666667,122.5333333,1
24/01/2015,728.2,0,83,0.42,15.25,6,357,83,723.5,0,45,0,4.8,1.5,25,725.7409091,0,65.77272727,0.107136364,10.64409091,4.095454545,190.5,1
24/02/2015,726.5,0.01,94,0.149,5.59,10.7,344,48,716.5,0,88,0,3.03,3.6,22,721.625,0.000625,91.75,0.047875,4.6325,7.56875,110,1
24/06/2015,722.7,0,88,0.75,29.86,18.6,123,49,720.7,0,58,0.003,23.44,4.6,42,721.3384615,0,71.38461538,0.277692308,26.87769231,11.88461538,100.6923077,1
